,0,1,2,3,4,5,6
173,10.0,0.0,50.0,0.7,0.85,3.7763944763410366,0.37643670177128546
174,10.0,0.0,50.0,0.75,0.75,3.7814843477416504,0.37442682174440456
175,10.0,0.0,50.0,0.75,0.8,3.7806888560332568,0.3760143288788076
176,10.0,0.0,50.0,0.75,0.85,3.783420603014838,0.37525354700825914
177,10.0,0.0,50.0,0.8,0.75,3.783828583215972,0.3754577232198433
178,10.0,0.0,50.0,0.8,0.8,3.7813198411611695,0.3764900052531937
179,10.0,0.0,50.0,0.8,0.85,3.776779627411915,0.3763742108059693
180,10.0,0.5,5.0,0.7,0.75,3.7921318843279304,0.36989831159099196
181,10.0,0.5,5.0,0.7,0.8,3.7987651836864447,0.3684058085209173
182,10.0,0.5,5.0,0.7,0.85,3.8019247556068603,0.36478931085921484
183,10.0,0.5,5.0,0.75,0.75,3.7914495182009915,0.3711237695716152
184,10.0,0.5,5.0,0.75,0.8,3.7901082364303162,0.37162635303406777
185,10.0,0.5,5.0,0.75,0.85,3.797727092100155,0.3666187227453583
186,10.0,0.5,5.0,0.8,0.75,3.7870390817026256,0.37285973540885026
187,10.0,0.5,5.0,0.8,0.8,3.788795481190444,0.37068725251659085
188,10.0,0.5,5.0,0.8,0.85,3.795833437177561,0.36875010903633704
189,10.0,0.5,10.0,0.7,0.75,3.7875420748577313,0.37303320145969465
190,10.0,0.5,10.0,0.7,0.8,3.793462726572364,0.36974735686796156
191,10.0,0.5,10.0,0.7,0.85,3.7922091288517477,0.36823022743781025
192,10.0,0.5,10.0,0.75,0.75,3.79349740723465,0.3711575685470023
193,10.0,0.5,10.0,0.75,0.8,3.7958206925951834,0.36968085947681223
194,10.0,0.5,10.0,0.75,0.85,3.78457446596686,0.37340704178846135
195,10.0,0.5,10.0,0.8,0.75,3.789432194915589,0.37234382114349496
196,10.0,0.5,10.0,0.8,0.8,3.7922262911233373,0.3694841812550182
197,10.0,0.5,10.0,0.8,0.85,3.800037600283106,0.371822992701638
198,10.0,0.5,25.0,0.7,0.75,3.783465192551222,0.3738116209490974
199,10.0,0.5,25.0,0.7,0.8,3.790797765934846,0.3686588238454784
200,10.0,0.5,25.0,0.7,0.85,3.7837870487518908,0.3732149990117437
201,10.0,0.5,25.0,0.75,0.75,3.786324129999832,0.3744015037689105
202,10.0,0.5,25.0,0.75,0.8,3.7852455948496537,0.3736341069585983
203,10.0,0.5,25.0,0.75,0.85,3.787174051095257,0.37086781301355437
204,10.0,0.5,25.0,0.8,0.75,3.784186564689829,0.3739087456491483
205,10.0,0.5,25.0,0.8,0.8,3.782239353034447,0.37354678050368006
206,10.0,0.5,25.0,0.8,0.85,3.7861463490304788,0.37242562586834926
207,10.0,0.5,50.0,0.7,0.75,3.779365388937888,0.37501118980888737
208,10.0,0.5,50.0,0.7,0.8,3.7803373596252645,0.377016815587798
209,10.0,0.5,50.0,0.7,0.85,3.783238275540314,0.3749863485172084
210,10.0,0.5,50.0,0.75,0.75,3.7786255740621493,0.37643559674151394
211,10.0,0.5,50.0,0.75,0.8,3.776547659197709,0.37690635500939584
212,10.0,0.5,50.0,0.75,0.85,3.776458358181771,0.37756638743520776
213,10.0,0.5,50.0,0.8,0.75,3.780459875839405,0.3753456716228364
214,10.0,0.5,50.0,0.8,0.8,3.784251321682785,0.37393794964344484
215,10.0,0.5,50.0,0.8,0.85,3.783890415195651,0.37676389661398113
216,10.0,5.0,5.0,0.7,0.75,3.7884764469044887,0.37201759682744284
217,10.0,5.0,5.0,0.7,0.8,3.7909666457183624,0.369612207693394
218,10.0,5.0,5.0,0.7,0.85,3.791498987654381,0.36807488014207645
219,10.0,5.0,5.0,0.75,0.75,3.7918053265481864,0.36934061634788407
220,10.0,5.0,5.0,0.75,0.8,3.795709637399932,0.3686671418295764
221,10.0,5.0,5.0,0.75,0.85,3.7954085181427937,0.36785667290861424
222,10.0,5.0,5.0,0.8,0.75,3.7926639562288083,0.36875139751937347
